epoch : 1/500, train loss = 221.6354, val loss = 35.6640
epoch : 2/500, train loss = 23.0787, val loss = 60.3274
epoch : 3/500, train loss = 22.9798, val loss = 56.8618
epoch : 4/500, train loss = 23.6666, val loss = 46.2154
epoch : 5/500, train loss = 15.8601, val loss = 45.6908
epoch : 6/500, train loss = 21.1552, val loss = 50.6324
epoch : 7/500, train loss = 15.9672, val loss = 41.6470
epoch : 8/500, train loss = 15.4166, val loss = 42.1863
epoch : 9/500, train loss = 16.1558, val loss = 43.2589
epoch : 10/500, train loss = 14.1593, val loss = 36.7678
epoch : 11/500, train loss = 13.4835, val loss = 41.1569
epoch : 12/500, train loss = 15.5358, val loss = 46.4729
epoch : 13/500, train loss = 14.3682, val loss = 38.8852
epoch : 14/500, train loss = 14.7440, val loss = 44.5438
epoch : 15/500, train loss = 15.4106, val loss = 41.2435
epoch : 16/500, train loss = 13.3200, val loss = 42.7510
epoch : 17/500, train loss = 13.5987, val loss = 41.0603
epoch : 18/500, train loss = 14.1184, val loss = 41.2848
epoch : 19/500, train loss = 13.6940, val loss = 38.9793
epoch : 20/500, train loss = 12.1748, val loss = 41.2265
epoch : 21/500, train loss = 13.1974, val loss = 41.6436
epoch : 22/500, train loss = 12.7965, val loss = 41.4351
epoch : 23/500, train loss = 13.0278, val loss = 42.4988
epoch : 24/500, train loss = 11.5315, val loss = 37.2478
epoch : 25/500, train loss = 10.6118, val loss = 37.5626
epoch : 26/500, train loss = 11.8848, val loss = 40.2235
epoch : 27/500, train loss = 11.6465, val loss = 40.9191
epoch : 28/500, train loss = 11.0717, val loss = 38.0652
epoch : 29/500, train loss = 11.7728, val loss = 41.8035
epoch : 30/500, train loss = 11.8503, val loss = 38.9189
epoch : 31/500, train loss = 12.2852, val loss = 41.0028
epoch : 32/500, train loss = 10.4052, val loss = 38.0074
epoch : 33/500, train loss = 11.3250, val loss = 38.6166
epoch : 34/500, train loss = 9.2551, val loss = 36.9050
epoch : 35/500, train loss = 9.2767, val loss = 36.6346
epoch : 36/500, train loss = 9.8590, val loss = 36.1991
epoch : 37/500, train loss = 9.4551, val loss = 38.8413
epoch : 38/500, train loss = 9.3977, val loss = 34.2165
epoch : 39/500, train loss = 8.7200, val loss = 37.8038
epoch : 40/500, train loss = 8.8357, val loss = 34.8782
epoch : 41/500, train loss = 8.0067, val loss = 35.2371
epoch : 42/500, train loss = 9.4606, val loss = 38.7314
epoch : 43/500, train loss = 8.5780, val loss = 36.1149
epoch : 44/500, train loss = 8.8705, val loss = 36.3095
epoch : 45/500, train loss = 10.7374, val loss = 38.7603
epoch : 46/500, train loss = 9.3997, val loss = 38.4508
epoch : 47/500, train loss = 8.6363, val loss = 34.9934
epoch : 48/500, train loss = 10.4254, val loss = 42.4093
epoch : 49/500, train loss = 9.3240, val loss = 33.9079
epoch : 50/500, train loss = 8.1899, val loss = 35.9159
epoch : 51/500, train loss = 8.0258, val loss = 34.9379
epoch : 52/500, train loss = 8.2115, val loss = 37.0303
epoch : 53/500, train loss = 10.0112, val loss = 37.1305
epoch : 54/500, train loss = 7.8800, val loss = 34.1078
epoch : 55/500, train loss = 9.0758, val loss = 34.0294
epoch : 56/500, train loss = 6.6375, val loss = 32.8913
epoch : 57/500, train loss = 8.7955, val loss = 34.5115
epoch : 58/500, train loss = 6.9081, val loss = 35.2920
epoch : 59/500, train loss = 4.8568, val loss = 30.9360
epoch : 60/500, train loss = 4.8207, val loss = 29.6791
epoch : 61/500, train loss = 5.8360, val loss = 31.2820
epoch : 62/500, train loss = 8.8316, val loss = 40.1161
epoch : 63/500, train loss = 8.2514, val loss = 33.3296
epoch : 64/500, train loss = 4.9284, val loss = 31.5644
epoch : 65/500, train loss = 4.2060, val loss = 32.7189
epoch : 66/500, train loss = 3.8371, val loss = 29.8828
epoch : 67/500, train loss = 3.8456, val loss = 30.0827
epoch : 68/500, train loss = 6.1710, val loss = 34.9708
epoch : 69/500, train loss = 4.8894, val loss = 29.3145
epoch : 70/500, train loss = 6.1325, val loss = 30.2000
epoch : 71/500, train loss = 3.7404, val loss = 29.1758
epoch : 72/500, train loss = 3.6500, val loss = 30.6828
epoch : 73/500, train loss = 4.5181, val loss = 29.3607
epoch : 74/500, train loss = 3.7369, val loss = 32.6029
epoch : 75/500, train loss = 3.8236, val loss = 30.9915
epoch : 76/500, train loss = 3.1122, val loss = 29.1773
epoch : 77/500, train loss = 3.0281, val loss = 30.4898
epoch : 78/500, train loss = 3.1130, val loss = 30.5913
epoch : 79/500, train loss = 3.0084, val loss = 30.7168
epoch : 80/500, train loss = 2.8595, val loss = 29.0791
epoch : 81/500, train loss = 2.8941, val loss = 31.4029
epoch : 82/500, train loss = 2.8156, val loss = 30.0510
epoch : 83/500, train loss = 2.7295, val loss = 31.0011
epoch : 84/500, train loss = 2.8027, val loss = 30.4170
epoch : 85/500, train loss = 2.6371, val loss = 31.6920
epoch : 86/500, train loss = 2.6099, val loss = 30.0736
epoch : 87/500, train loss = 2.5713, val loss = 31.6563
epoch : 88/500, train loss = 2.5645, val loss = 30.7631
