epoch : 1/500, train loss = 392.6897, val loss = 79.7043
epoch : 2/500, train loss = 40.7606, val loss = 22.1017
epoch : 3/500, train loss = 16.3380, val loss = 18.5895
epoch : 4/500, train loss = 17.6973, val loss = 28.3071
epoch : 5/500, train loss = 30.8956, val loss = 42.8119
epoch : 6/500, train loss = 40.0804, val loss = 40.3576
epoch : 7/500, train loss = 28.8329, val loss = 29.6449
epoch : 8/500, train loss = 22.0541, val loss = 24.8036
epoch : 9/500, train loss = 22.1656, val loss = 28.6712
epoch : 10/500, train loss = 23.4999, val loss = 28.0135
epoch : 11/500, train loss = 25.4392, val loss = 26.2633
epoch : 12/500, train loss = 25.0334, val loss = 30.0144
epoch : 13/500, train loss = 26.9438, val loss = 28.0539
epoch : 14/500, train loss = 25.8213, val loss = 30.6156
epoch : 15/500, train loss = 22.8554, val loss = 25.8780
epoch : 16/500, train loss = 21.4785, val loss = 26.0327
epoch : 17/500, train loss = 21.5610, val loss = 25.3829
epoch : 18/500, train loss = 20.1520, val loss = 25.4983
epoch : 19/500, train loss = 20.6721, val loss = 26.2116
epoch : 20/500, train loss = 21.2491, val loss = 25.8834
epoch : 21/500, train loss = 20.7154, val loss = 28.0421
epoch : 22/500, train loss = 23.5211, val loss = 24.9947
epoch : 23/500, train loss = 21.4013, val loss = 21.3698
epoch : 24/500, train loss = 21.6144, val loss = 25.5937
epoch : 25/500, train loss = 20.8992, val loss = 23.2754
epoch : 26/500, train loss = 19.5274, val loss = 22.2072
epoch : 27/500, train loss = 18.1706, val loss = 25.3427
epoch : 28/500, train loss = 20.5491, val loss = 24.7620
epoch : 29/500, train loss = 19.7113, val loss = 23.9779
epoch : 30/500, train loss = 20.1506, val loss = 28.5274
epoch : 31/500, train loss = 20.2893, val loss = 24.4056
epoch : 32/500, train loss = 20.1698, val loss = 21.9724
epoch : 33/500, train loss = 18.2006, val loss = 23.9587
epoch : 34/500, train loss = 19.3915, val loss = 22.8273
epoch : 35/500, train loss = 19.0887, val loss = 21.9265
epoch : 36/500, train loss = 17.4295, val loss = 22.5841
epoch : 37/500, train loss = 18.5041, val loss = 23.8826
epoch : 38/500, train loss = 17.1663, val loss = 19.9508
epoch : 39/500, train loss = 16.8176, val loss = 22.5277
epoch : 40/500, train loss = 17.8512, val loss = 23.3088
epoch : 41/500, train loss = 17.6571, val loss = 22.4758
epoch : 42/500, train loss = 17.3723, val loss = 20.7058
epoch : 43/500, train loss = 16.2655, val loss = 23.1489
epoch : 44/500, train loss = 17.3224, val loss = 20.7290
epoch : 45/500, train loss = 19.0384, val loss = 22.6142
epoch : 46/500, train loss = 17.5702, val loss = 19.6928
epoch : 47/500, train loss = 15.8845, val loss = 18.1768
epoch : 48/500, train loss = 15.2080, val loss = 17.9478
