epoch : 1/500, discriminator_loss = 1.3172, generator_loss = 0.5610
epoch : 2/500, discriminator_loss = 1.2596, generator_loss = 0.6072
epoch : 3/500, discriminator_loss = 1.2185, generator_loss = 0.6302
epoch : 4/500, discriminator_loss = 1.1906, generator_loss = 0.6427
epoch : 5/500, discriminator_loss = 1.1638, generator_loss = 0.6475
epoch : 6/500, discriminator_loss = 1.1426, generator_loss = 0.6546
epoch : 7/500, discriminator_loss = 1.1221, generator_loss = 0.6628
epoch : 8/500, discriminator_loss = 1.1061, generator_loss = 0.6662
epoch : 9/500, discriminator_loss = 1.0904, generator_loss = 0.6686
epoch : 10/500, discriminator_loss = 1.0834, generator_loss = 0.6725
epoch : 11/500, discriminator_loss = 1.0685, generator_loss = 0.6761
epoch : 12/500, discriminator_loss = 1.0631, generator_loss = 0.6774
epoch : 13/500, discriminator_loss = 1.0567, generator_loss = 0.6792
epoch : 14/500, discriminator_loss = 1.0518, generator_loss = 0.6792
epoch : 15/500, discriminator_loss = 1.0469, generator_loss = 0.6819
epoch : 16/500, discriminator_loss = 1.0444, generator_loss = 0.6835
epoch : 17/500, discriminator_loss = 1.0387, generator_loss = 0.6839
epoch : 18/500, discriminator_loss = 1.0349, generator_loss = 0.6852
epoch : 19/500, discriminator_loss = 1.0364, generator_loss = 0.6861
epoch : 1/5, discriminator_loss = 1.3453, generator_loss = 0.5346
