epoch : 1/500, train loss = 0.0882, val loss = 0.0306
epoch : 2/500, train loss = 0.0275, val loss = 0.0280
epoch : 3/500, train loss = 0.0266, val loss = 0.0266
epoch : 4/500, train loss = 0.0266, val loss = 0.0275
epoch : 5/500, train loss = 0.0265, val loss = 0.0274
epoch : 6/500, train loss = 0.0263, val loss = 0.0267
epoch : 7/500, train loss = 0.0263, val loss = 0.0272
epoch : 8/500, train loss = 0.0262, val loss = 0.0275
epoch : 9/500, train loss = 0.0261, val loss = 0.0276
epoch : 10/500, train loss = 0.0259, val loss = 0.0267
epoch : 11/500, train loss = 0.0258, val loss = 0.0268
epoch : 12/500, train loss = 0.0256, val loss = 0.0280
epoch : 13/500, train loss = 0.0255, val loss = 0.0267
epoch : 14/500, train loss = 0.0254, val loss = 0.0263
epoch : 15/500, train loss = 0.0254, val loss = 0.0270
epoch : 16/500, train loss = 0.0253, val loss = 0.0279
epoch : 17/500, train loss = 0.0252, val loss = 0.0259
epoch : 18/500, train loss = 0.0251, val loss = 0.0261
epoch : 19/500, train loss = 0.0251, val loss = 0.0276
epoch : 20/500, train loss = 0.0250, val loss = 0.0257
epoch : 21/500, train loss = 0.0248, val loss = 0.0256
epoch : 22/500, train loss = 0.0249, val loss = 0.0257
epoch : 23/500, train loss = 0.0246, val loss = 0.0261
epoch : 24/500, train loss = 0.0246, val loss = 0.0252
epoch : 25/500, train loss = 0.0246, val loss = 0.0257
epoch : 26/500, train loss = 0.0245, val loss = 0.0266
epoch : 27/500, train loss = 0.0243, val loss = 0.0246
epoch : 28/500, train loss = 0.0242, val loss = 0.0268
epoch : 29/500, train loss = 0.0241, val loss = 0.0250
epoch : 30/500, train loss = 0.0240, val loss = 0.0256
epoch : 31/500, train loss = 0.0239, val loss = 0.0252
epoch : 32/500, train loss = 0.0238, val loss = 0.0248
epoch : 33/500, train loss = 0.0238, val loss = 0.0244
epoch : 34/500, train loss = 0.0237, val loss = 0.0244
epoch : 35/500, train loss = 0.0236, val loss = 0.0253
epoch : 36/500, train loss = 0.0234, val loss = 0.0246
epoch : 37/500, train loss = 0.0233, val loss = 0.0244
epoch : 38/500, train loss = 0.0233, val loss = 0.0242
epoch : 39/500, train loss = 0.0231, val loss = 0.0241
epoch : 40/500, train loss = 0.0231, val loss = 0.0243
epoch : 41/500, train loss = 0.0229, val loss = 0.0242
epoch : 42/500, train loss = 0.0229, val loss = 0.0243
epoch : 43/500, train loss = 0.0228, val loss = 0.0243
epoch : 44/500, train loss = 0.0227, val loss = 0.0234
epoch : 45/500, train loss = 0.0226, val loss = 0.0244
epoch : 46/500, train loss = 0.0225, val loss = 0.0248
epoch : 47/500, train loss = 0.0224, val loss = 0.0233
epoch : 48/500, train loss = 0.0223, val loss = 0.0231
epoch : 49/500, train loss = 0.0222, val loss = 0.0239
epoch : 50/500, train loss = 0.0221, val loss = 0.0231
epoch : 51/500, train loss = 0.0220, val loss = 0.0244
epoch : 52/500, train loss = 0.0219, val loss = 0.0230
epoch : 53/500, train loss = 0.0218, val loss = 0.0238
epoch : 54/500, train loss = 0.0217, val loss = 0.0238
epoch : 55/500, train loss = 0.0215, val loss = 0.0228
epoch : 56/500, train loss = 0.0214, val loss = 0.0228
epoch : 57/500, train loss = 0.0213, val loss = 0.0234
epoch : 58/500, train loss = 0.0212, val loss = 0.0231
epoch : 59/500, train loss = 0.0211, val loss = 0.0232
epoch : 60/500, train loss = 0.0209, val loss = 0.0238
epoch : 61/500, train loss = 0.0209, val loss = 0.0235
epoch : 62/500, train loss = 0.0207, val loss = 0.0236
epoch : 63/500, train loss = 0.0206, val loss = 0.0241
epoch : 64/500, train loss = 0.0205, val loss = 0.0237
epoch : 65/500, train loss = 0.0203, val loss = 0.0230
epoch : 66/500, train loss = 0.0202, val loss = 0.0235
epoch : 67/500, train loss = 0.0201, val loss = 0.0234
epoch : 68/500, train loss = 0.0199, val loss = 0.0233
epoch : 69/500, train loss = 0.0197, val loss = 0.0232
epoch : 70/500, train loss = 0.0196, val loss = 0.0232
epoch : 71/500, train loss = 0.0194, val loss = 0.0230
epoch : 72/500, train loss = 0.0192, val loss = 0.0235
epoch : 73/500, train loss = 0.0191, val loss = 0.0230
epoch : 74/500, train loss = 0.0190, val loss = 0.0227
epoch : 75/500, train loss = 0.0188, val loss = 0.0234
epoch : 76/500, train loss = 0.0186, val loss = 0.0234
epoch : 77/500, train loss = 0.0184, val loss = 0.0229
epoch : 78/500, train loss = 0.0182, val loss = 0.0232
epoch : 79/500, train loss = 0.0181, val loss = 0.0232
epoch : 80/500, train loss = 0.0179, val loss = 0.0242
epoch : 81/500, train loss = 0.0177, val loss = 0.0243
epoch : 82/500, train loss = 0.0175, val loss = 0.0238
epoch : 83/500, train loss = 0.0173, val loss = 0.0238
epoch : 84/500, train loss = 0.0171, val loss = 0.0243
epoch : 85/500, train loss = 0.0169, val loss = 0.0246
epoch : 86/500, train loss = 0.0167, val loss = 0.0245
epoch : 87/500, train loss = 0.0165, val loss = 0.0243
epoch : 88/500, train loss = 0.0163, val loss = 0.0239
epoch : 89/500, train loss = 0.0161, val loss = 0.0236
epoch : 90/500, train loss = 0.0159, val loss = 0.0243
epoch : 91/500, train loss = 0.0157, val loss = 0.0252
epoch : 92/500, train loss = 0.0156, val loss = 0.0248
epoch : 93/500, train loss = 0.0153, val loss = 0.0248
epoch : 94/500, train loss = 0.0151, val loss = 0.0247
epoch : 95/500, train loss = 0.0149, val loss = 0.0252
epoch : 96/500, train loss = 0.0149, val loss = 0.0249
epoch : 97/500, train loss = 0.0147, val loss = 0.0249
