epoch : 1/500, train loss = 469.2016, val loss = 242.7310
epoch : 2/500, train loss = 10.1703, val loss = 17.2678
epoch : 3/500, train loss = 3.9397, val loss = 24.7530
epoch : 4/500, train loss = 4.3591, val loss = 7.0200
epoch : 5/500, train loss = 3.8178, val loss = 12.4206
epoch : 6/500, train loss = 3.6727, val loss = 8.1593
epoch : 7/500, train loss = 4.0340, val loss = 75.4412
epoch : 8/500, train loss = 4.3796, val loss = 9.6168
epoch : 9/500, train loss = 2.9474, val loss = 32.1523
epoch : 10/500, train loss = 3.6208, val loss = 8.7643
epoch : 11/500, train loss = 3.1908, val loss = 35.2409
epoch : 12/500, train loss = 3.3352, val loss = 41.8361
epoch : 13/500, train loss = 3.1242, val loss = 9.8049
epoch : 14/500, train loss = 4.0874, val loss = 19.2016
epoch : 15/500, train loss = 3.5523, val loss = 13.1170
epoch : 16/500, train loss = 3.0480, val loss = 152.7592
epoch : 17/500, train loss = 2.9339, val loss = 90.1370
epoch : 18/500, train loss = 3.1775, val loss = 11.0314
epoch : 19/500, train loss = 2.8950, val loss = 51.7230
epoch : 20/500, train loss = 2.8591, val loss = 5.8431
epoch : 21/500, train loss = 2.5077, val loss = 6.6602
epoch : 22/500, train loss = 2.5413, val loss = 44.7270
epoch : 23/500, train loss = 2.3230, val loss = 5.0530
epoch : 24/500, train loss = 2.1766, val loss = 6.5531
epoch : 25/500, train loss = 2.1265, val loss = 73.9371
epoch : 26/500, train loss = 2.3026, val loss = 3.6970
epoch : 27/500, train loss = 2.3814, val loss = 18.0206
epoch : 28/500, train loss = 2.1645, val loss = 11.3079
epoch : 29/500, train loss = 2.1410, val loss = 76.4806
epoch : 30/500, train loss = 2.0343, val loss = 92.7617
epoch : 31/500, train loss = 1.9623, val loss = 3.2170
epoch : 32/500, train loss = 1.9919, val loss = 21.5450
epoch : 33/500, train loss = 1.8180, val loss = 8.6143
epoch : 34/500, train loss = 1.8636, val loss = 5.3355
epoch : 35/500, train loss = 1.7335, val loss = 94.5898
epoch : 36/500, train loss = 1.6947, val loss = 84.9564
epoch : 37/500, train loss = 1.7741, val loss = 19.5314
epoch : 38/500, train loss = 1.8209, val loss = 3.7655
epoch : 39/500, train loss = 1.9105, val loss = 53.2302
epoch : 40/500, train loss = 1.7145, val loss = 16.2061
epoch : 41/500, train loss = 1.6830, val loss = 14.4288
epoch : 42/500, train loss = 1.6393, val loss = 6.3660
epoch : 43/500, train loss = 1.7363, val loss = 13.0821
epoch : 44/500, train loss = 1.6455, val loss = 74.4299
epoch : 45/500, train loss = 1.7113, val loss = 3.2549
epoch : 46/500, train loss = 1.6562, val loss = 29.3418
epoch : 47/500, train loss = 1.7635, val loss = 40.0096
epoch : 48/500, train loss = 1.5712, val loss = 9.6225
epoch : 49/500, train loss = 1.5734, val loss = 53.7135
epoch : 50/500, train loss = 1.5368, val loss = 21.6826
epoch : 51/500, train loss = 1.5259, val loss = 83.0857
epoch : 52/500, train loss = 1.5638, val loss = 6.9525
epoch : 53/500, train loss = 1.4987, val loss = 50.4291
epoch : 54/500, train loss = 1.5642, val loss = 26.0178
epoch : 55/500, train loss = 1.4974, val loss = 67.4873
epoch : 56/500, train loss = 1.4795, val loss = 6.7120
epoch : 57/500, train loss = 1.5388, val loss = 27.9018
epoch : 58/500, train loss = 1.4615, val loss = 96.3610
epoch : 59/500, train loss = 1.7013, val loss = 5.4256
epoch : 60/500, train loss = 1.7020, val loss = 38.3776
epoch : 61/500, train loss = 1.5423, val loss = 74.5860
epoch : 62/500, train loss = 1.6414, val loss = 45.3037
epoch : 63/500, train loss = 3.1935, val loss = 108.8909
epoch : 64/500, train loss = 3.3822, val loss = 245.1655
epoch : 65/500, train loss = 2.1284, val loss = 4.4083
epoch : 66/500, train loss = 2.1474, val loss = 136.8686
epoch : 67/500, train loss = 1.7986, val loss = 12.3467
epoch : 68/500, train loss = 1.7297, val loss = 22.4086
epoch : 69/500, train loss = 1.3540, val loss = 5.7388
epoch : 70/500, train loss = 1.4131, val loss = 9.9300
epoch : 71/500, train loss = 1.4099, val loss = 10.7009
epoch : 72/500, train loss = 1.4801, val loss = 35.4647
epoch : 73/500, train loss = 1.3268, val loss = 8.0114
epoch : 74/500, train loss = 1.3013, val loss = 4.0055
epoch : 75/500, train loss = 1.2108, val loss = 5.9956
epoch : 76/500, train loss = 1.2131, val loss = 15.0973
epoch : 77/500, train loss = 1.2570, val loss = 6.1314
epoch : 78/500, train loss = 1.2472, val loss = 6.7541
epoch : 79/500, train loss = 1.1996, val loss = 2.7705
epoch : 80/500, train loss = 1.1842, val loss = 8.5021
epoch : 81/500, train loss = 1.1600, val loss = 18.6374
epoch : 82/500, train loss = 1.2072, val loss = 2.1228
epoch : 83/500, train loss = 1.2198, val loss = 3.4705
epoch : 84/500, train loss = 1.1986, val loss = 44.6445
epoch : 85/500, train loss = 1.2417, val loss = 19.9476
epoch : 86/500, train loss = 1.1780, val loss = 26.1830
epoch : 87/500, train loss = 1.0918, val loss = 3.9273
epoch : 88/500, train loss = 1.0855, val loss = 4.5296
epoch : 89/500, train loss = 1.1846, val loss = 12.5322
epoch : 90/500, train loss = 1.1743, val loss = 6.0815
epoch : 91/500, train loss = 1.2951, val loss = 2.8945
epoch : 92/500, train loss = 2.8667, val loss = 33.5312
epoch : 93/500, train loss = 143.8106, val loss = 156.2159
epoch : 94/500, train loss = 53.7638, val loss = 637.3985
epoch : 95/500, train loss = 6.2377, val loss = 221.3582
epoch : 96/500, train loss = 4.6488, val loss = 4.6338
epoch : 97/500, train loss = 4.3266, val loss = 5.2397
epoch : 98/500, train loss = 3.6683, val loss = 70.7529
epoch : 99/500, train loss = 3.4814, val loss = 620.2975
epoch : 100/500, train loss = 3.3907, val loss = 39.6901
epoch : 101/500, train loss = 3.1739, val loss = 710.6073
epoch : 102/500, train loss = 3.0312, val loss = 525.4651
epoch : 103/500, train loss = 2.9198, val loss = 239.0870
epoch : 104/500, train loss = 2.8616, val loss = 6.9982
epoch : 105/500, train loss = 2.7821, val loss = 3.2221
epoch : 106/500, train loss = 2.7361, val loss = 2.9592
epoch : 107/500, train loss = 2.6413, val loss = 2.6336
epoch : 108/500, train loss = 2.5334, val loss = 697.6298
epoch : 109/500, train loss = 2.4984, val loss = 2.6363
epoch : 110/500, train loss = 2.3904, val loss = 6.7508
epoch : 111/500, train loss = 2.3523, val loss = 305.6398
epoch : 112/500, train loss = 2.3809, val loss = 163.4504
epoch : 113/500, train loss = 2.4147, val loss = 5.3958
epoch : 114/500, train loss = 2.5330, val loss = 2.4529
epoch : 115/500, train loss = 2.4882, val loss = 2.8187
epoch : 116/500, train loss = 2.2904, val loss = 816.4810
epoch : 117/500, train loss = 2.2582, val loss = 2.3132
epoch : 118/500, train loss = 2.2142, val loss = 62.6001
epoch : 119/500, train loss = 2.1925, val loss = 10.8196
epoch : 120/500, train loss = 2.1478, val loss = 66.0700
epoch : 121/500, train loss = 2.1310, val loss = 2.1828
epoch : 122/500, train loss = 2.1201, val loss = 3.1642
epoch : 123/500, train loss = 2.1166, val loss = 2.1779
epoch : 124/500, train loss = 2.0911, val loss = 5.7019
epoch : 125/500, train loss = 2.1075, val loss = 2.1310
epoch : 126/500, train loss = 2.0794, val loss = 2.2501
epoch : 127/500, train loss = 2.0420, val loss = 2.0630
epoch : 128/500, train loss = 2.0399, val loss = 2.3459
epoch : 129/500, train loss = 2.0542, val loss = 4.5002
epoch : 130/500, train loss = 1.9939, val loss = 2.0445
epoch : 131/500, train loss = 1.9710, val loss = 2.5399
epoch : 132/500, train loss = 1.9826, val loss = 6.4056
epoch : 133/500, train loss = 2.0068, val loss = 2.0563
epoch : 134/500, train loss = 2.0054, val loss = 2.0691
epoch : 135/500, train loss = 1.9932, val loss = 8.6014
epoch : 136/500, train loss = 1.9772, val loss = 1.9368
epoch : 137/500, train loss = 1.9690, val loss = 2.1267
epoch : 138/500, train loss = 1.9436, val loss = 135.5741
epoch : 139/500, train loss = 1.9557, val loss = 5.6878
epoch : 140/500, train loss = 1.9267, val loss = 9.2461
epoch : 141/500, train loss = 1.9039, val loss = 1.9796
epoch : 142/500, train loss = 1.8985, val loss = 2.1898
epoch : 143/500, train loss = 1.8467, val loss = 201.0451
epoch : 144/500, train loss = 1.8491, val loss = 2.3536
epoch : 145/500, train loss = 1.8345, val loss = 92.4680
epoch : 146/500, train loss = 1.7998, val loss = 136.7142
epoch : 147/500, train loss = 1.7928, val loss = 205.7070
epoch : 148/500, train loss = 1.8113, val loss = 1.9038
epoch : 149/500, train loss = 1.7877, val loss = 19.3985
epoch : 150/500, train loss = 1.7444, val loss = 1.8386
epoch : 151/500, train loss = 1.7725, val loss = 2.0601
epoch : 152/500, train loss = 1.7401, val loss = 2.3318
epoch : 153/500, train loss = 1.7287, val loss = 66.3040
epoch : 154/500, train loss = 1.7153, val loss = 63.1918
epoch : 155/500, train loss = 1.7029, val loss = 2.0524
epoch : 156/500, train loss = 1.7049, val loss = 1.9397
epoch : 157/500, train loss = 1.7040, val loss = 1.7769
epoch : 158/500, train loss = 1.6894, val loss = 1.7087
epoch : 159/500, train loss = 1.7053, val loss = 1355.1407
epoch : 160/500, train loss = 1.6729, val loss = 1.8868
epoch : 161/500, train loss = 1.6746, val loss = 10.3443
epoch : 162/500, train loss = 1.6558, val loss = 1.7693
epoch : 163/500, train loss = 1.6706, val loss = 149.5808
epoch : 164/500, train loss = 1.6629, val loss = 19.0867
