epoch : 1/500, train loss = 583.9752, val loss = 39.4001
epoch : 2/500, train loss = 22.7056, val loss = 12.0717
epoch : 3/500, train loss = 9.8186, val loss = 8.3358
epoch : 4/500, train loss = 7.0418, val loss = 6.4223
epoch : 5/500, train loss = 6.6748, val loss = 8.1639
epoch : 6/500, train loss = 6.4892, val loss = 7.9826
epoch : 7/500, train loss = 7.0503, val loss = 5.9968
epoch : 8/500, train loss = 6.9354, val loss = 7.9651
epoch : 9/500, train loss = 6.2186, val loss = 5.8765
epoch : 10/500, train loss = 5.9326, val loss = 7.0312
epoch : 11/500, train loss = 6.3050, val loss = 7.7111
epoch : 12/500, train loss = 6.5686, val loss = 6.5885
epoch : 13/500, train loss = 6.3597, val loss = 9.5819
epoch : 14/500, train loss = 6.4404, val loss = 6.4437
epoch : 15/500, train loss = 6.1252, val loss = 6.6407
epoch : 16/500, train loss = 7.9097, val loss = 12.9097
epoch : 17/500, train loss = 9.2947, val loss = 6.8072
epoch : 18/500, train loss = 7.8561, val loss = 7.6363
epoch : 19/500, train loss = 7.3460, val loss = 6.2183
epoch : 20/500, train loss = 7.2686, val loss = 9.2407
epoch : 21/500, train loss = 7.1500, val loss = 6.7467
epoch : 22/500, train loss = 7.5153, val loss = 7.2260
epoch : 23/500, train loss = 8.0765, val loss = 7.8362
epoch : 24/500, train loss = 7.7189, val loss = 9.3182
epoch : 25/500, train loss = 7.4041, val loss = 6.7810
epoch : 26/500, train loss = 7.1457, val loss = 6.6046
epoch : 27/500, train loss = 7.1862, val loss = 5.8174
epoch : 28/500, train loss = 5.8008, val loss = 6.3303
epoch : 29/500, train loss = 5.7808, val loss = 7.4548
epoch : 30/500, train loss = 5.9099, val loss = 4.5248
epoch : 31/500, train loss = 5.6534, val loss = 4.7869
epoch : 32/500, train loss = 5.2546, val loss = 5.3573
epoch : 33/500, train loss = 4.9215, val loss = 4.3157
epoch : 34/500, train loss = 4.3716, val loss = 4.3596
epoch : 35/500, train loss = 4.3306, val loss = 5.2647
epoch : 36/500, train loss = 4.9411, val loss = 6.1831
epoch : 37/500, train loss = 5.6345, val loss = 6.4801
epoch : 38/500, train loss = 5.0610, val loss = 5.0565
epoch : 39/500, train loss = 5.8875, val loss = 5.0167
epoch : 40/500, train loss = 4.9086, val loss = 3.7125
epoch : 41/500, train loss = 4.2869, val loss = 3.8310
epoch : 42/500, train loss = 4.0837, val loss = 3.6182
epoch : 43/500, train loss = 3.6703, val loss = 3.5090
epoch : 44/500, train loss = 4.1048, val loss = 4.2069
epoch : 45/500, train loss = 4.1254, val loss = 4.0834
epoch : 46/500, train loss = 4.0922, val loss = 4.0202
epoch : 47/500, train loss = 4.2648, val loss = 3.6537
epoch : 48/500, train loss = 3.9049, val loss = 3.7746
epoch : 49/500, train loss = 3.4640, val loss = 3.0947
epoch : 50/500, train loss = 3.3942, val loss = 3.1734
epoch : 51/500, train loss = 3.3042, val loss = 3.4292
epoch : 52/500, train loss = 3.2758, val loss = 3.2199
epoch : 53/500, train loss = 3.1361, val loss = 3.3773
epoch : 54/500, train loss = 3.1312, val loss = 2.7468
epoch : 55/500, train loss = 2.9069, val loss = 2.8266
epoch : 56/500, train loss = 2.9367, val loss = 3.0455
epoch : 57/500, train loss = 2.9507, val loss = 3.2288
epoch : 58/500, train loss = 2.9862, val loss = 2.8125
epoch : 59/500, train loss = 3.0706, val loss = 2.9919
epoch : 60/500, train loss = 3.1254, val loss = 3.0021
epoch : 61/500, train loss = 2.9480, val loss = 2.7576
epoch : 62/500, train loss = 2.7938, val loss = 2.6427
epoch : 63/500, train loss = 2.6369, val loss = 2.6729
epoch : 64/500, train loss = 2.5818, val loss = 2.6410
epoch : 65/500, train loss = 2.4322, val loss = 2.3921
epoch : 66/500, train loss = 2.4047, val loss = 2.4008
epoch : 67/500, train loss = 2.5740, val loss = 2.9370
epoch : 68/500, train loss = 2.9983, val loss = 2.8400
epoch : 69/500, train loss = 2.7441, val loss = 2.9738
epoch : 70/500, train loss = 3.4169, val loss = 5.2788
epoch : 71/500, train loss = 4.8369, val loss = 3.7421
epoch : 72/500, train loss = 3.6299, val loss = 3.0646
epoch : 73/500, train loss = 3.3102, val loss = 2.9834
epoch : 74/500, train loss = 3.1063, val loss = 2.6380
epoch : 75/500, train loss = 2.7541, val loss = 2.7336
epoch : 76/500, train loss = 3.2589, val loss = 3.1627
epoch : 77/500, train loss = 3.0595, val loss = 2.5992
epoch : 78/500, train loss = 2.5167, val loss = 2.4804
epoch : 79/500, train loss = 2.4875, val loss = 2.4013
epoch : 80/500, train loss = 2.4147, val loss = 2.5134
epoch : 81/500, train loss = 2.4451, val loss = 2.3950
epoch : 82/500, train loss = 2.2963, val loss = 2.2026
epoch : 83/500, train loss = 2.3046, val loss = 2.3715
epoch : 84/500, train loss = 2.4778, val loss = 2.6322
epoch : 85/500, train loss = 2.4112, val loss = 2.3094
epoch : 86/500, train loss = 2.2210, val loss = 2.2922
epoch : 87/500, train loss = 2.4193, val loss = 2.3000
epoch : 88/500, train loss = 2.3209, val loss = 2.1567
epoch : 89/500, train loss = 3.2311, val loss = 2.8729
epoch : 90/500, train loss = 2.4992, val loss = 2.3920
epoch : 91/500, train loss = 2.2754, val loss = 2.3584
epoch : 92/500, train loss = 2.1846, val loss = 2.2029
epoch : 93/500, train loss = 2.1715, val loss = 2.0784
epoch : 94/500, train loss = 2.0568, val loss = 2.1699
epoch : 95/500, train loss = 2.2365, val loss = 2.3061
epoch : 96/500, train loss = 2.1952, val loss = 2.2255
epoch : 97/500, train loss = 2.1276, val loss = 2.1657
epoch : 98/500, train loss = 2.0442, val loss = 2.1232
epoch : 99/500, train loss = 2.0483, val loss = 2.1362
epoch : 100/500, train loss = 1.9514, val loss = 2.1001
epoch : 101/500, train loss = 1.9596, val loss = 2.0555
epoch : 102/500, train loss = 1.9937, val loss = 2.2409
epoch : 103/500, train loss = 2.0413, val loss = 2.1057
