epoch : 1/500, train loss = 1334.8884, val loss = 174.9823
epoch : 2/500, train loss = 171.1967, val loss = 88.4408
epoch : 3/500, train loss = 43.5785, val loss = 34.8510
epoch : 4/500, train loss = 17.7967, val loss = 11.6797
epoch : 5/500, train loss = 10.2622, val loss = 10.8255
epoch : 6/500, train loss = 10.1536, val loss = 8.6456
epoch : 7/500, train loss = 9.5755, val loss = 8.2208
epoch : 8/500, train loss = 7.5687, val loss = 16.3560
epoch : 9/500, train loss = 7.3663, val loss = 7.0249
epoch : 10/500, train loss = 8.1389, val loss = 28.2208
epoch : 11/500, train loss = 6.4856, val loss = 11.4884
epoch : 12/500, train loss = 6.7427, val loss = 12.6554
epoch : 13/500, train loss = 7.0368, val loss = 7.9726
epoch : 14/500, train loss = 8.2561, val loss = 9.1503
epoch : 15/500, train loss = 7.4539, val loss = 5.7438
epoch : 16/500, train loss = 6.1853, val loss = 14.3267
epoch : 17/500, train loss = 6.2744, val loss = 6.4145
epoch : 18/500, train loss = 12.9369, val loss = 11.7313
epoch : 19/500, train loss = 30.0799, val loss = 11.2812
epoch : 20/500, train loss = 27.6293, val loss = 37.2870
epoch : 21/500, train loss = 10.1822, val loss = 13.0867
epoch : 22/500, train loss = 7.3705, val loss = 6.7818
epoch : 23/500, train loss = 7.4802, val loss = 7.0147
epoch : 24/500, train loss = 8.9988, val loss = 7.2216
epoch : 25/500, train loss = 7.7506, val loss = 13.5862
epoch : 26/500, train loss = 6.5419, val loss = 5.7868
epoch : 27/500, train loss = 5.3029, val loss = 10.0034
epoch : 28/500, train loss = 7.6409, val loss = 8.9244
epoch : 29/500, train loss = 10.1094, val loss = 16.3616
epoch : 30/500, train loss = 8.0264, val loss = 9.7972
epoch : 31/500, train loss = 6.6445, val loss = 10.2108
epoch : 32/500, train loss = 7.9593, val loss = 6.1749
epoch : 33/500, train loss = 9.9420, val loss = 7.1350
epoch : 34/500, train loss = 9.9574, val loss = 8.0485
epoch : 35/500, train loss = 11.3657, val loss = 28.0451
epoch : 36/500, train loss = 7.9323, val loss = 10.2046
epoch : 37/500, train loss = 6.6324, val loss = 25.6451
epoch : 38/500, train loss = 7.1635, val loss = 5.2938
epoch : 39/500, train loss = 6.6950, val loss = 8.2845
epoch : 40/500, train loss = 6.3477, val loss = 10.7118
epoch : 41/500, train loss = 8.3517, val loss = 7.1971
epoch : 42/500, train loss = 7.7359, val loss = 42.3299
epoch : 43/500, train loss = 5.6289, val loss = 9.5431
epoch : 44/500, train loss = 7.3168, val loss = 5.7358
epoch : 45/500, train loss = 6.9038, val loss = 13.5504
epoch : 46/500, train loss = 7.6955, val loss = 8.4339
epoch : 47/500, train loss = 10.1569, val loss = 19.7710
epoch : 48/500, train loss = 11.1238, val loss = 13.2427
epoch : 49/500, train loss = 7.8633, val loss = 35.7240
epoch : 50/500, train loss = 7.2077, val loss = 6.7416
epoch : 51/500, train loss = 6.1181, val loss = 9.8964
epoch : 52/500, train loss = 5.4548, val loss = 7.2173
epoch : 53/500, train loss = 6.2017, val loss = 6.5242
epoch : 54/500, train loss = 6.0351, val loss = 96.8889
epoch : 55/500, train loss = 7.9438, val loss = 84.9041
epoch : 56/500, train loss = 10.0106, val loss = 7.8476
epoch : 57/500, train loss = 14.9137, val loss = 8.7378
epoch : 58/500, train loss = 19.7388, val loss = 14.2757
epoch : 59/500, train loss = 25.6736, val loss = 10.5768
epoch : 60/500, train loss = 17.5593, val loss = 40.7379
epoch : 61/500, train loss = 12.5525, val loss = 7.1236
epoch : 62/500, train loss = 10.2657, val loss = 9.1362
epoch : 63/500, train loss = 11.6815, val loss = 11.7295
epoch : 64/500, train loss = 13.5891, val loss = 11.5926
epoch : 65/500, train loss = 12.0425, val loss = 18.2519
epoch : 66/500, train loss = 8.6490, val loss = 215.5072
epoch : 67/500, train loss = 9.3121, val loss = 29.8909
epoch : 68/500, train loss = 17.1752, val loss = 8.9791
epoch : 69/500, train loss = 34.4693, val loss = 10.2561
epoch : 70/500, train loss = 21.1553, val loss = 17.5617
epoch : 71/500, train loss = 10.3632, val loss = 7.7382
epoch : 72/500, train loss = 8.3314, val loss = 8.1194
epoch : 73/500, train loss = 8.6174, val loss = 11.0990
epoch : 74/500, train loss = 6.6144, val loss = 4.8335
epoch : 75/500, train loss = 6.9411, val loss = 10.1344
epoch : 76/500, train loss = 9.7900, val loss = 9.0878
epoch : 77/500, train loss = 13.0926, val loss = 100.3062
epoch : 78/500, train loss = 8.3137, val loss = 26.2805
epoch : 79/500, train loss = 9.7778, val loss = 6.3121
epoch : 80/500, train loss = 7.3212, val loss = 20.4833
epoch : 81/500, train loss = 7.5508, val loss = 7.6560
epoch : 82/500, train loss = 6.2378, val loss = 7.8409
epoch : 83/500, train loss = 6.4390, val loss = 4.7826
epoch : 84/500, train loss = 5.4392, val loss = 39.8921
epoch : 85/500, train loss = 8.0268, val loss = 5.9977
epoch : 86/500, train loss = 9.1906, val loss = 7.0953
epoch : 87/500, train loss = 8.8920, val loss = 5.9960
epoch : 88/500, train loss = 7.6207, val loss = 7.2646
epoch : 89/500, train loss = 6.5240, val loss = 12.3071
epoch : 90/500, train loss = 5.1920, val loss = 5.0560
epoch : 91/500, train loss = 4.9358, val loss = 4.9644
epoch : 92/500, train loss = 5.0082, val loss = 5.6512
epoch : 93/500, train loss = 5.4123, val loss = 5.7548
epoch : 94/500, train loss = 5.0686, val loss = 5.5874
epoch : 95/500, train loss = 4.9239, val loss = 4.9728
epoch : 96/500, train loss = 7.7527, val loss = 5.5542
epoch : 97/500, train loss = 9.1967, val loss = 32.0823
